Parameter Long Name,Vertical Level,Parameter Short Name,Units,1st Version Available,Analysis or Forcast,Notes
Hail,0.1_sigma_layer,HAIL_max_fcst,m,V4,anl,
Hail,0.1_sigma_layer,HAIL_1hr_max_fcst,m,V4,fcst,
Vertical Velocity,0.5_0.8_sigma_layer,DZDT_ave_fcst,m/s,V3,anl,
Vertical Velocity,0.5_0.8_sigma_layer,DZDT_1hr_ave_fcst,m/s,V3,fcst,
U-Component Vertical Wind Shear,0_1000m_above_ground,VUCSH,1/s,V3,both,
V-Component Vertical Wind Shear,0_1000m_above_ground,VVCSH,1/s,V3,both,
Convective Available Potential Energy,0_3000m_above_ground,CAPE,J/kg,V4,both,
U-Component Storm Motion,0_6000m_above_ground,USTM,m/s,V3,both,
V-Component Storm Motion,0_6000m_above_ground,VSTM,m/s,V3,both,
U-Component Vertical Wind Shear,0_6000m_above_ground,VUCSH,1/s,V3,both,
V-Component Vertical Wind Shear,0_6000m_above_ground,VVCSH,1/s,V3,both,
Height of the 0°C isotherm,0C_isotherm,HGT,m,V3,both,
Pressure at the 0°C isotherm,0C_isotherm,PRES,Pa,V3,both,
Relative Humidity at the 0°C isotherm,0C_isotherm,RH,%,V3,both,
Moisture Availability,0m_underground,MSTAV,%,V3,both,
Hourly Maximum of Upward Vertical Velocity,100_1000mb_above_ground,MAXUVV_max_fcst,m/s,V3,anl,
Hourly Maximum of Downward Vertical Velocity,100_1000mb_above_ground,MAXDVV_max_fcst,m/s,V3,anl,
Hourly Maximum of Upward Vertical Velocity,100_1000mb_above_ground,MAXUVV_1hr_max_fcst,m/s,V3,fcst,
Hourly Maximum of Downward Vertical Velocity,100_1000mb_above_ground,MAXDVV_1hr_max_fcst,m/s,V3,fcst,
Relative Vorticity,1000_0m_above_ground,RELV_max_fcst,1/s,V4,anl,
Relative Vorticity,1000_0m_above_ground,RELV_1hr_max_fcst,1/s,V4,fcst,
Storm Relative Helicity,1000_0m_above_ground,HLCY,m2/s2,V3,both,
Reflectivity,1000m_above_ground,REFD,dB,V3,both,
Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,MAXREF_max_fcst,dB,V3,both,
Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,MAXREF_1hr_max_fcst,dB,V3,both,
Temperature,1000mb,TMP,K,V3,both,
DewPoint Temperature,1000mb,DPT,K,V3,both,
U-Component of Wind,1000mb,UGRD,m/s,V3,both,
V-Component of Wind,1000mb,VGRD,m/s,V3,both,
Geopotential Height,1000mb,HGT,gpm,V3,both,
U-Component of Wind,10m_above_ground,UGRD,m/s,V3,both,
V-Component of Wind,10m_above_ground,VGRD,m/s,V3,both,
Wind Speed,10m_above_ground,WIND_max_fcst,m/s,V3,anl,
Wind Speed,10m_above_ground,WIND_1hr_max_fcst,m/s,V3,fcst,
U-Component of Hourly Maximum Wind,10m_above_ground,MAXUW_max_fcst,m/s,V3,anl,
U-Component of Hourly Maximum Wind,10m_above_ground,MAXUW_1hr_max_fcst,m/s,V3,fcst,
V-Component of Hourly Maximum Wind,10m_above_ground,MAXVW_max_fcst,m/s,V3,anl,
V-Component of Hourly Maximum Wind,10m_above_ground,MAXVW_1hr_max_fcst,m/s,V3,fcst,
Best (4 layer) Lifted Index,180_0mb_above_ground,4LFTX,,V3,both,
Convective Available Potential Energy,180_0mb_above_ground,CAPE,,V3,both,
Convective Inhibition,180_0mb_above_ground,CIN,,V3,both,
Lightning Potential Index,1m_above_ground,LTPINX,J/kg,V4,both,
Hourly Maximum of Updraft Helicity,2000_0m_above_ground,MXUPHL_max_fcst,m2/s2,V3,anl,
Hourly Maximum of Updraft Helicity,2000_0m_above_ground,MXUPHL_1hr_max_fcst,m2/s2,V3,fcst,
Hourly Minimum of Updraft Helicity,2000_0m_above_ground,MNUPHL_min_fcst,m2/s2,V3,anl,
Hourly Minimum of Updraft Helicity,2000_0m_above_ground,MNUPHL_1hr_min_fcst,m2/s2,V3,fcst,
Relative Vorticity,2000_0m_above_ground,RELV_max_fcst,1/s,V4,anl,
Relative Vorticity,2000_0m_above_ground,RELV_1hr_max_fcst,1/s,V4,fcst,
U-Component of Wind,250mb,UGRD,m/s,V3,both,
V-Component of Wind,250mb,VGRD,m/s,V3,both,
Height at the 253 K,253K_level,HGT,m,V3,both,
Convective Available Potential Energy,255_0mb_above_ground,CAPE,J/kg,V3,both,
Convective Inhibition,255_0mb_above_ground,CIN,J/kg,V3,both,
Pressure of Level From Which Parcel Was Lifted,255_0mb_above_ground,PLPL,Pa,V3,both,
Depth of Layer Supporting Dendritic Growth,261K_level___256K_level,LAYTH,m,V4,both,
Height at the 263 K,263K_level,HGT,m,V3,both,
Reflectivity,263K_level,REFD,dB,V4,both,
Reflectivity,263K_level,REFD_max_fcst,dB,V4,anl,
Reflectivity,263K_level,REFD_1hr_max_fcst,dB,V4,fcst,
Lightning Potential Index,2m_above_ground,LTPINX,J/kg,V4,both,
Temperature,2m_above_ground,TMP,K,V3,both,
Potential Temperature,2m_above_ground,POT,K,V3,both,
Specific Humidity,2m_above_ground,SPFH,kg/kg,V3,both,
Dew Point Temperature,2m_above_ground,DPT,K,V3,both,
Relative Humidity,2m_above_ground,RH,kg/kg,V3,both,
Hourly Maximum of Updraft Helicity,3000_0m_above_ground,MXUPHL_max_fcst,m2/s2,V3,anl,
Hourly Maximum of Updraft Helicity,3000_0m_above_ground,MXUPHL_1hr_max_fcst,m2/s2,V3,fcst,
Hourly Minimum of Updraft Helicity,3000_0m_above_ground,MNUPHL_min_fcst,m2/s2,V3,anl,
Hourly Minimum of Updraft Helicity,3000_0m_above_ground,MNUPHL_1hr_min_fcst,m2/s2,V3,fcst,
Storm Relative Helicity,3000_0m_above_ground,HLCY,m2/s2,V3,both,
U-Component of Wind,300mb,UGRD,m/s,V4,both,
V-Component of Wind,300mb,VGRD,m/s,V4,both,
Reflectivity,4000m_Above_Ground,REFD,dB,V3,both,
Surface Lifted Index,500_1000mb,LFTX,K,V3,both,
Hourly Maximum of Updraft Helicity,5000_2000m_above_ground,MXUPHL_max_fcst,m2/s2,V3,anl,
Hourly Maximum of Updraft Helicity,5000_2000m_above_ground,MXUPHL_1hr_max_fcst,m2/s2,V3,fcst,
Hourly Minimum of Updraft Helicity,5000_2000m_above_ground,MNUPHL_min_fcst,m2/s2,V3,anl,
Hourly Minimum of Updraft Helicity,5000_2000m_above_ground,MNUPHL_1hr_min_fcst,m2/s2,V3,fcst,
Geopotential Height,500mb,HGT,gpm,V3,both,
Temperature,500mb,TMP,K,V3,both,
Dew Point Temperature,500mb,DPT,K,V3,both,
U-Component of Wind,500mb,UGRD,m/s,V3,both,
V-Component of Wind,500mb,VGRD,m/s,V3,both,
Geopotential Height,700mb,HGT,gpm,V3,both,
Temperature,700mb,TMP,K,V3,both,
Dew Point Temperature,700mb,DPT,K,V3,both,
Vertical Velocity,700mb,DZDT,m/s,V4,both,
U-Component of Wind,700mb,UGRD,m/s,V3,both,
V-Component of Wind,700mb,VGRD,m/s,V3,both,
U-Component of Wind,80m_above_ground,UGRD,m/s,V3,both,
V-Component of Wind,80m_above_ground,VGRD,m/s,V3,both,
Geopotential Height,850mb,HGT,gpm,V3,both,
Temperature,850mb,TMP,K,V3,both,
Dew Point Temperature,850mb,DPT,K,V3,both,
U-Component of Wind,850mb,UGRD,m/s,V3,both,
V-Component of Wind,850mb,VGRD,m/s,V3,both,
Mass Density,8m_above_ground,MASSDEN,Concentration (kg/m3),V4,both,Near-surface smoke
